|30536| 36976|12:13:51.199|inf:50 |                                    :409   |       pylon_capture>> Adding capture/replay support to memory
|30536| 36976|12:13:51.200|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 103, api: Vulkan, type: DeviceMemory
|30536| 36976|12:13:51.200|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 104, api: Vulkan, type: ImageView
|30536| 36976|12:13:51.200|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 105, api: Vulkan, type: Image
|30536| 36976|12:13:51.200|inf:50 |                                    :409   |       pylon_capture>> Adding capture/replay support to memory
|30536| 36976|12:13:51.200|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 106, api: Vulkan, type: DeviceMemory
|30536| 36976|12:13:51.200|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 107, api: Vulkan, type: ImageView
|30536| 36976|12:13:56.675|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 108, api: Vulkan, type: Buffer
|30536| 36976|12:13:56.675|inf:50 |                                    :409   |       pylon_capture>> Adding capture/replay support to memory
|30536| 36976|12:13:56.676|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 109, api: Vulkan, type: DeviceMemory
|30536| 36976|12:13:56.676|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 110, api: Vulkan, type: Semaphore
|30536| 36976|12:13:56.676|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 111, api: Vulkan, type: CommandPool
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 112, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 113, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 114, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 115, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 116, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 117, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 118, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 119, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 120, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 121, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 122, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 123, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 124, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 125, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 126, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 127, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 128, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 129, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 130, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 131, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 132, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 133, api: Vulkan, type: CommandBuffer
|30536| 36976|12:13:56.677|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 134, api: Vulkan, type: CommandBuffer
